sku,name_ar,name_en,description_ar,description_en,brand_slug,category_slug,base_price_egp,vat_exempt,authenticity,specs_json,status
HP-CE285A-COMP,خرطوشة تونر HP 85A أسود متوافقة,HP 85A Black Compatible Toner Cartridge,"تونر متوافق HP 85A للطابعات LaserJet Pro P1102, P1102w, M1132, M1212nf, M1217nfw. إنتاجية حتى 1,600 صفحة.","Compatible HP 85A toner for HP LaserJet Pro P1102, P1102w, M1132, M1212nf, M1217nfw. Up to 1,600 pages.",hp,toner-cartridges,260,FALSE,COMPATIBLE,"{""pageYield"": ""1,600 pages"", ""color"": ""Black"", ""partNumber"": ""CE285A"", ""compatiblePrinters"": ""LaserJet Pro P1102, P1102w, M1132, M1212nf, M1217nfw""}",ACTIVE
HP-CB435A-COMP,خرطوشة تونر HP 35A أسود متوافقة,HP 35A Black Compatible Toner Cartridge,"تونر متوافق HP 35A للطابعات LaserJet P1005, P1006. إنتاجية حتى 1,500 صفحة.","Compatible HP 35A toner for HP LaserJet P1005, P1006. Up to 1,500 pages.",hp,toner-cartridges,260,FALSE,COMPATIBLE,"{""pageYield"": ""1,500 pages"", ""color"": ""Black"", ""partNumber"": ""CB435A"", ""compatiblePrinters"": ""LaserJet P1005, P1006""}",ACTIVE
HP-CE278A-COMP,خرطوشة تونر HP 78A أسود متوافقة,HP 78A Black Compatible Toner Cartridge,"تونر متوافق HP 78A للطابعات LaserJet P1566, P1606dn, MFP M1536dnf. إنتاجية حتى 2,100 صفحة.","Compatible HP 78A toner for HP LaserJet P1566, P1606dn, MFP M1536dnf. Up to 2,100 pages.",hp,toner-cartridges,270,FALSE,COMPATIBLE,"{""pageYield"": ""2,100 pages"", ""color"": ""Black"", ""partNumber"": ""CE278A"", ""compatiblePrinters"": ""LaserJet P1566, P1606dn, MFP M1536dnf""}",ACTIVE
HP-CF279A-COMP,خرطوشة تونر HP 79A أسود متوافقة,HP 79A Black Compatible Toner Cartridge,"تونر متوافق HP 79A للطابعات LaserJet Pro M12a, M12w, MFP M26nw. إنتاجية حتى 1,000 صفحة.","Compatible HP 79A toner for HP LaserJet Pro M12a, M12w, MFP M26nw. Up to 1,000 pages.",hp,toner-cartridges,270,FALSE,COMPATIBLE,"{""pageYield"": ""1,000 pages"", ""color"": ""Black"", ""partNumber"": ""CF279A"", ""compatiblePrinters"": ""LaserJet Pro M12a, M12w, MFP M26nw""}",ACTIVE
HP-CF283A-COMP,خرطوشة تونر HP 83A أسود متوافقة,HP 83A Black Compatible Toner Cartridge,"تونر متوافق HP 83A للطابعات LaserJet Pro M125, M127fn, M201, M225. إنتاجية حتى 1,500 صفحة.","Compatible HP 83A toner for HP LaserJet Pro M125, M127fn, M201, M225. Up to 1,500 pages.",hp,toner-cartridges,260,FALSE,COMPATIBLE,"{""pageYield"": ""1,500 pages"", ""color"": ""Black"", ""partNumber"": ""CF283A"", ""compatiblePrinters"": ""LaserJet Pro M125, M127fn, M201, M225""}",ACTIVE
HP-W1106A-COMP,خرطوشة تونر HP 106A أسود متوافقة,HP 106A Black Compatible Toner Cartridge,"تونر متوافق HP 106A للطابعات HP Laser 107a, 107w, MFP 135a, 135w, 137fnw. إنتاجية حتى 1,000 صفحة.","Compatible HP 106A toner for HP HP Laser 107a, 107w, MFP 135a, 135w, 137fnw. Up to 1,000 pages.",hp,toner-cartridges,430,FALSE,COMPATIBLE,"{""pageYield"": ""1,000 pages"", ""color"": ""Black"", ""partNumber"": ""W1106A"", ""compatiblePrinters"": ""HP Laser 107a, 107w, MFP 135a, 135w, 137fnw""}",ACTIVE
HP-W1107A-COMP,خرطوشة تونر HP 107A أسود متوافقة,HP 107A Black Compatible Toner Cartridge,"تونر متوافق HP 107A للطابعات HP Laser 107a, 107w, MFP 135a, 135w, 137fnw. إنتاجية حتى 1,000 صفحة.","Compatible HP 107A toner for HP HP Laser 107a, 107w, MFP 135a, 135w, 137fnw. Up to 1,000 pages.",hp,toner-cartridges,460,FALSE,COMPATIBLE,"{""pageYield"": ""1,000 pages"", ""color"": ""Black"", ""partNumber"": ""W1107A"", ""compatiblePrinters"": ""HP Laser 107a, 107w, MFP 135a, 135w, 137fnw""}",ACTIVE
HP-CF244A-COMP,خرطوشة تونر HP 44A أسود متوافقة,HP 44A Black Compatible Toner Cartridge,"تونر متوافق HP 44A للطابعات LaserJet Pro M15a, M15w, MFP M28a, M28w. إنتاجية حتى 1,000 صفحة.","Compatible HP 44A toner for HP LaserJet Pro M15a, M15w, MFP M28a, M28w. Up to 1,000 pages.",hp,toner-cartridges,320,FALSE,COMPATIBLE,"{""pageYield"": ""1,000 pages"", ""color"": ""Black"", ""partNumber"": ""CF244A"", ""compatiblePrinters"": ""LaserJet Pro M15a, M15w, MFP M28a, M28w""}",ACTIVE
HP-Q2612A-COMP,خرطوشة تونر HP 12A أسود متوافقة,HP 12A Black Compatible Toner Cartridge,"تونر متوافق HP 12A للطابعات LaserJet 1010, 1018, 1020, 1022, 3050, M1005. إنتاجية حتى 2,000 صفحة.","Compatible HP 12A toner for HP LaserJet 1010, 1018, 1020, 1022, 3050, M1005. Up to 2,000 pages.",hp,toner-cartridges,300,FALSE,COMPATIBLE,"{""pageYield"": ""2,000 pages"", ""color"": ""Black"", ""partNumber"": ""Q2612A"", ""compatiblePrinters"": ""LaserJet 1010, 1018, 1020, 1022, 3050, M1005""}",ACTIVE
HP-CF226A-COMP,خرطوشة تونر HP 26A أسود متوافقة,HP 26A Black Compatible Toner Cartridge,"تونر متوافق HP 26A للطابعات LaserJet Pro M402, MFP M426. إنتاجية حتى 3,100 صفحة.","Compatible HP 26A toner for HP LaserJet Pro M402, MFP M426. Up to 3,100 pages.",hp,toner-cartridges,320,FALSE,COMPATIBLE,"{""pageYield"": ""3,100 pages"", ""color"": ""Black"", ""partNumber"": ""CF226A"", ""compatiblePrinters"": ""LaserJet Pro M402, MFP M426""}",ACTIVE
